Año,Trimestre,Banda ancha fija,Dial up,Total,Inicia periodo,Termina periodo
2022,3,11078691,12437,11091128,Jul 2022,Sep 2022
2022,2,10946248,12436,10958684,Apr 2022,Jun 2022
2022,1,10611390,12619,10624009,Jan 2022,Mar 2022
2021,4,10476933,12861,10489794,Oct 2021,Dec 2021
2021,3,10075184,10357,10085541,Jul 2021,Sep 2021
2021,2,9852702,10382,9863084,Apr 2021,Jun 2021
2021,1,9637956,10016,9647972,Jan 2021,Mar 2021
2020,4,9561546,10016,9571562,Oct 2020,Dec 2020
2020,3,9346183,10016,9356199,Jul 2020,Sep 2020
2020,2,9021040,10016,9031056,Apr 2020,Jun 2020
2020,1,8802435,9991,8812426,Jan 2020,Mar 2020
2019,4,8783053,10128,8793181,Oct 2019,Dec 2019
2019,3,9142891,21793,9164684,Jul 2019,Sep 2019
2019,2,8938427,21754,8960181,Apr 2019,Jun 2019
2019,1,8626323,21812,8648135,Jan 2019,Mar 2019
2018,4,8451841,21814,8473655,Oct 2018,Dec 2018
2018,3,8320223,26812,8347035,Jul 2018,Sep 2018
2018,2,8083533,26911,8110444,Apr 2018,Jun 2018
2018,1,8009981,27072,8037053,Jan 2018,Mar 2018
2017,4,7842778,27444,7870222,Oct 2017,Dec 2017
2017,3,7696594,28349,7724943,Jul 2017,Sep 2017
2017,2,7401134,28530,7429664,Apr 2017,Jun 2017
2017,1,7277314,28540,7305854,Jan 2017,Mar 2017
2016,4,7223128,28545,7251673,Oct 2016,Dec 2016
2016,3,7178340,28610,7206950,Jul 2016,Sep 2016
2016,2,7097604,32475,7130079,Apr 2016,Jun 2016
2016,1,6874704,32652,6907356,Jan 2016,Mar 2016
2015,4,6952289,32542,6984831,Oct 2015,Dec 2015
2015,3,6902267,32801,6935068,Jul 2015,Sep 2015
2015,2,6783279,32909,6816188,Apr 2015,Jun 2015
2015,1,6699714,38018,6737732,Jan 2015,Mar 2015
2014,4,6559172,39324,6598496,Oct 2014,Dec 2014
2014,3,6559264,36007,6595271,Jul 2014,Sep 2014
2014,2,6428329,36139,6464468,Apr 2014,Jun 2014
2014,1,6362108,36290,6398398,Jan 2014,Mar 2014
