Provincia,Trimestre,Año,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Total,Porcent_Altas_vel
Chubut,2,2014,0,0,0,0,70514,0
Chubut,1,2014,0,0,0,0,78781,0
San Juan,3,2014,0,0,0,0,546276,0
San Juan,2,2014,0,0,0,0,568129,0
San Juan,1,2014,0,0,0,0,584056,0
San Luis,3,2014,0,0,3000,0,24029,12.484914062174871
Tierra Del Fuego,4,2015,0,0,0,0,333662,0
Tierra Del Fuego,1,2016,0,0,0,0,334003,0
Tierra Del Fuego,3,2016,0,0,0,0,336080,0
Tierra Del Fuego,4,2016,0,0,0,0,336409,0
Tierra Del Fuego,2,2016,0,0,0,0,340773,0
Tierra Del Fuego,1,2017,0,0,0,0,336409,0
Tierra Del Fuego,2,2017,0,0,0,0,336409,0
Tierra Del Fuego,3,2017,0,0,0,0,339858,0
Santa Cruz,4,2014,1000,1000,0,0,183545,1.0896510392546788
Santa Cruz,1,2014,1000,1000,0,0,189597,1.0548690116404795
Santa Cruz,3,2014,1000,1000,0,0,222872,0.8973760723644065
Chubut,1,2016,1066,0,0,0,172557,0.6177668828271238
Formosa,1,2014,1133,67000,0,0,92355,73.77294136754912
La Rioja,1,2014,1165,35000,0,0,60666,59.613292453763236
Formosa,2,2014,1321,85000,0,0,110515,78.1079491471746
Formosa,3,2014,1324,85000,0,0,110850,77.87460532250789
La Rioja,2,2014,1337,61000,0,0,86841,71.78291360071856
La Rioja,3,2014,1337,61000,0,0,86842,71.78208700859031
Chubut,4,2016,1352,0,0,0,480796,0.28120034276491485
Catamarca,1,2014,1672,64000,0,0,107149,61.290352686445985
Chubut,1,2017,1808,0,0,0,480749,0.3760798254390545
Chubut,2,2017,1880,0,0,0,482826,0.389374225911612
Catamarca,3,2014,1915,111000,0,0,154550,73.06049822064057
Catamarca,2,2014,1915,111000,0,0,154553,73.05908005667958
Santa Cruz,2,2014,2000,0,0,0,182011,1.0988346858156925
Tierra Del Fuego,4,2014,2000,0,0,0,328489,0.6088483937057253
Tierra Del Fuego,2,2014,2000,0,0,0,379198,0.5274289421357709
Tierra Del Fuego,3,2014,2000,0,0,0,382348,0.5230836829275948
Santa Cruz,3,2015,2000,0,0,0,249266,0.8023557163833014
Santa Cruz,1,2015,2000,0,0,0,260048,0.7690887836091799
Santa Cruz,2,2015,2000,0,0,0,262519,0.7618496185038035
Tierra Del Fuego,2,2015,2000,0,0,0,338073,0.5915882072806761
Tierra Del Fuego,3,2015,2000,0,0,0,338408,0.5910025767712347
Tierra Del Fuego,1,2015,2000,0,0,0,661319,0.3024259094325129
Tierra Del Fuego,4,2017,2000,0,0,0,349334,0.5725179913778791
Tierra Del Fuego,1,2018,2000,0,0,0,455987,0.4386089954318873
Jujuy,1,2014,2001,56000,0,0,89746,64.6279499922002
Tierra Del Fuego,2,2018,2217,75000,0,0,419129,18.42320622051922
Jujuy,2,2014,2305,82000,0,0,116262,72.51294490031135
Jujuy,3,2014,2305,82000,0,0,242500,34.76494845360825
Chubut,3,2017,2336,3000,0,0,517168,1.0317730408687311
Santiago Del Estero,1,2014,2422,109000,0,0,146004,76.31434755212186
Santiago Del Estero,2,2014,2867,142000,0,0,179854,80.54699923271099
Santiago Del Estero,3,2014,2867,142000,0,0,969607,14.940795600691828
Santa Cruz,4,2015,3000,0,0,0,249338,1.203186036624983
Jujuy,4,2014,3443,465000,0,0,500490,93.59687506243881
Jujuy,1,2015,3939,603000,0,0,639009,94.98129134331441
Santiago Del Estero,4,2014,4359,602000,0,0,640699,94.64022887502556
Corrientes,1,2014,4486,630000,0,0,711585,89.16517352108322
Chaco,1,2014,4644,741000,5000,0,1245362,60.27516497211253
Jujuy,2,2015,4792,730000,0,0,766993,95.80165659921278
Santiago Del Estero,1,2015,4796,748000,0,0,1486168,50.65349274106292
Catamarca,3,2016,4845,1853,50000,0,91919,61.682568348219625
Catamarca,4,2016,4889,2077,54000,0,95963,63.53073580442462
Catamarca,1,2017,4901,2161,49000,0,90251,62.11787127012444
Jujuy,4,2015,5044,1587,0,0,39925,16.608641202254226
Misiones,1,2014,5139,958000,0,0,1575451,61.13417681667027
Jujuy,3,2015,5169,966000,0,0,1004584,96.67374754127081
Corrientes,3,2014,5181,1172,0,0,84518,7.5167419957878785
Jujuy,1,2016,5188,1623,0,0,40295,16.902841543615832
Corrientes,2,2014,5199,956000,0,0,1037981,92.60275477104109
Chaco,2,2014,5418,1085,5000,0,479887,2.3970226324113804
Chaco,3,2014,5428,1274,5000,0,466367,2.5091826823081393
Santiago Del Estero,2,2015,5553,888000,0,0,1628788,54.859994056930674
Jujuy,2,2016,5589,1750,3000,0,46493,22.23775622136666
Santiago Del Estero,4,2015,5669,1856,0,0,741435,1.0149237627034062
Santiago Del Estero,1,2016,5769,1898,0,0,740691,1.0351145079392081
